factory_class,join_status,node_occurrence_count,workflow_count
org.knime.base.node.preproc.unpivot2.Unpivot2NodeFactory,exact_not_deprecated,29,7
org.knime.base.node.preproc.valuelookup.ValueLookupNodeFactory,exact_not_deprecated,4,3
org.knime.base.node.rules.engine.RuleEngineFilterNodeFactory,exact_not_deprecated,108,14
org.knime.base.node.rules.engine.RuleEngineNodeFactory,exact_not_deprecated,105,19
org.knime.base.node.rules.engine.RuleEngineSplitterNodeFactory,exact_not_deprecated,3,2
org.knime.base.node.stats.correlation.rank2.RankCorrelationCompute2NodeFactory,exact_not_deprecated,2,2
org.knime.base.node.stats.outlier.handler.NumericOutliersNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.switches.emptytableswitch.EmptyTableSwitchNodeFactory,exact_not_deprecated,3,3
org.knime.base.node.switches.endif.EndifNodeFactory,exact_not_deprecated,3,3
org.knime.base.node.switches.startcase.StartcaseNodeFactory,exact_deprecated,1,1
org.knime.base.node.util.sendmail.SendMailNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.viz.property.color.ColorManager2NodeFactory,exact_not_deprecated,7,5
org.knime.base.views.node.lineplot.LinePlotNodeFactory,not_found,4,4
org.knime.base.views.node.roccurve.ROCCurveNodeFactory,not_found,4,4
org.knime.base.views.node.scatterplot.ScatterPlotNodeFactory,not_found,7,5
org.knime.base.views.node.tableview.TableViewNodeFactory,not_found,3,1
org.knime.database.extension.msaccess.node.connector.MSAccessConnectorNodeFactory,exact_not_deprecated,3,3
org.knime.database.extension.postgres.node.connector.PostgreSQLDBConnectorNodeFactory,exact_not_deprecated,43,14
org.knime.database.node.connector.generic.DBConnectorNodeFactory,exact_not_deprecated,17,8
org.knime.database.node.io.reader.DBReadNodeFactory,exact_not_deprecated,15,4
org.knime.database.node.io.reader.query.DBQueryReaderNodeFactory,exact_not_deprecated,42,13
org.knime.database.node.io.write.DBWriteNodeFactory,exact_deprecated,1,1
org.knime.database.node.io.write2.DBWrite2NodeFactory,exact_not_deprecated,2,2
org.knime.database.node.manipulation.executor.DBExecutorNodeFactory,exact_not_deprecated,1,1
org.knime.database.node.utility.tableselector.DBTableSelectNodeFactory,exact_deprecated,13,2
org.knime.database.node.utility.tableselector.DBTableSelectNodeFactory2,exact_not_deprecated,1,1
org.knime.datageneration.counter.CounterGenerationNodeFactory,not_found,2,2
org.knime.datageneration.dependendassigner.DependendAssignerNodeFactory,not_found,1,1
org.knime.datageneration.randomassigne.RandomAssignerNodeFactory,not_found,1,1
org.knime.datageneration.randomassignerfil.RandomAssignerFileNodeFactory,not_found,1,1
org.knime.dl.keras.base.nodes.executor.DLKerasExecutorNodeFactory,exact_not_deprecated,3,1
org.knime.dl.keras.base.nodes.layers.core.dense.DLKerasDenseLayerNodeFactory2,exact_not_deprecated,4,1
org.knime.dl.keras.base.nodes.layers.core.input.DLKerasInputLayerNodeFactory,exact_not_deprecated,2,1
org.knime.dl.keras.base.nodes.learner.DLKerasLearnerNodeFactory,exact_not_deprecated,2,1
org.knime.dynamic.js.v30.DynamicJSNodeFactory,not_found,1,1
org.knime.expressions.base.node.formulas.FormulasNodeFactory,not_found,15,7
org.knime.ext.jep.JEPNodeFactory,not_found,153,24
org.knime.ext.jep.multicolumn.MultiColumnJEPNodeFactory,not_found,2,2
org.knime.ext.microsoft.authentication.node.auth.MicrosoftAuthenticationNodeFactory,exact_deprecated,1,1
org.knime.ext.poi3.node.io.filehandling.excel.reader.ExcelTableReaderNodeFactory,exact_not_deprecated,40,11
org.knime.ext.poi3.node.io.filehandling.excel.writer.ExcelTableWriterNodeFactory,exact_not_deprecated,32,16
org.knime.ext.sharepoint.filehandling.node.SharepointConnectionNodeFactory,exact_not_deprecated,1,1
