index,factory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory
8,org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory
8,org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory
8,org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory
8,org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory
8,org.knime.base.node.preproc.filter.row.RowFilterNodeFactory
